Feature,Anova_Score
age,2816.671273603004
bmi,2003.8167512308225
weight,1306.3925875252808
sbp,1271.5827766677326
dbp,727.2950081722847
alt,666.1662287406419
chol,372.2504472525927
sex_male,299.9871739730925
bun,220.2352843162228
ast,185.51664049061068
ccr,65.51232209704771
no family history of diabetes,63.09628444247044
never smoker,42.73439416568481
height,14.545399468769054
former smoker,6.565936533082854
never drinker,1.8621939836345507
former drinker,0.21533733833844657
drinker_no info,0.19417201411693258
smoker_no info,0.19417201411693258